National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Austria	100-Holding Account	'BAUMIT' Baustoffe Gesellschaft m.b.H. 	1	FN 87132 k	open	Account holder	'BAUMIT' Baustoffe Gesellschaft m.b.H.	Linzer Straße 8		4820	Bad Ischl	Austria	1	Baumit Baustoffe Bad Ischl	IKA119	2005-06-01				1066110689	Rettenbach 143		4820	Bad Ischl	AT			30-Production of lime, or calcination of dolomite/magnesite	Stephan Giesbergen	Rettenbach 143		4820	Bad Ischl	AT	44894	41399	44894	42708	44894	51041	43171	57009	43171	44299	43171	45808	43171	47922	43171	49810	42159	50105	41426	50308	40685	41989	39937		39180		38416		37643		36866		
Austria	100-Holding Account	Breitenfeld Edelstahl AG 	2	FN 74471 t	open	Account holder	Breitenfeld Edelstahl AG	Breitenfeldstrasse 22		8662	Mitterdorf	Austria	2	Breitenfelder Edelstahl Mitterdorf	IES069	2005-11-23				1029210323	Breitenfeld Strasse 22		8662	Mitterdorf	AT			24-Production of pig iron or steel	Erich Schneider	Breitenfeldstrasse 22		8662	Mitterdorf	AT	8492	12104	8492	12256	8492	14976	14063	17523	17155	16815	26429	15963	26429	19328	26429	16434	15118	19734	14856	18498	14590	17366	14322		14051		13776		13499		13221		
Austria	100-Holding Account	Ziegelwerk Danreiter GmbH &amp; Co KG 	3	FN 18162 i	open	Account holder	Ziegelwerk Danreiter GmbH &amp; Co KG	Ottenbach 14		4911	Tumeltsham	Austria	3	Ziegelwerk Danreiter Ried im Innkreis	IZI155	2004-01-01				20000.00427	Rabenberg 11		4910	Ried	AT			32-Manufacture of ceramics	Johann Willminger	Rabenberg 11		4910	Tumeltsham	AT	7397	5855	7397	3500	7397	4346	5927	3670	5927	2904	5927	2861	5927	4162	5927	4082	3494	4017	3434	3064	3373	3075	3311		3248		3185		3120		3056		
Austria	100-Holding Account	Wienerberger Ziegelindustrie GmbH 	4	FN 94684 t	closed	Account holder	Wienerberger Ziegelindustrie GmbH	Hauptstrasse 2		2332	Hennersdorf	Austria	4	Wienerberger Blindenmarkt	IZI146-1	2004-01-02	2014-03-24			1052010545	Prasdorf 1		3372	Blindenmarkt	AT			8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	Leopold Wagner	Prasdorf 1		3372	Blindenmarkt	AT	8335	10903	8335	6859	8335	0		Not Reported		Not Reported		Not Reported																					
Austria	100-Holding Account	FunderMax GmbH 	5	FN 90081 y	open	Account holder	FunderMax GmbH	Klagenfurter Str. 87-89		9300	St. Veit/Glan	Austria	5	Isomax Dekorative Laminate Wiener Neudorf	ICH113	2004-01-02				1034010288	IZ NÖ-Süd		2355	Wiener Neudorf	AT			20-Combustion of fuels	Klaus Wilplinger	Klagenfurter Straße 87-89		9300	St. Veit/Glan	AT	24003	29943	24003	34345	24003	33272	27343	23865	27343	24304	27343	25117	27343	25940	27343	25475	26223	30819	25697	29079	25167	28969	24636		24102		23566		23026		22488		
Austria	100-Holding Account	SANDOZ GmbH 	6	FN 50587 v	open	Account holder	SANDOZ GmbH	Biochemiestrasse 10		6250	Kundl	Austria	6	Sandoz Werk Kundl	ICH106	2004-01-01				20000.00341	Biochemie-Str. 10		6250	Kundl	AT			20-Combustion of fuels	Michael Lerchster	Biochemiestr. 10		6250 Kundl	Kundl	AT	77562	76251	77562	76087	77562	73284	74886	69874	74886	68225	74886	68507	74886	64062	74886	64034	71150	66565	69914	61584	68664	62361	67400		66123		64834		63529		62219		
Austria	100-Holding Account	Martin Pichler Ziegelwerk GmbH. 	7	FN 167091 y	open	Account holder	Martin Pichler Ziegelwerk GmbH.	Ziegeleistraße 14		4082	Aschach an der Donau	Austria	7	Ziegelwerk Martin Pichler Aschach	IZI150	2004-01-02				1021910174	Ziegeleistraße 14		4082	Aschach a.d. Donau	AT			32-Manufacture of ceramics	Ekkehart Pichler	Ziegeleistraße 14		4082	Aschach a.d. Donau	AT	6556	8361	6556	8851	6556	9425	13646	9004	13646	6370	13646	7182	13646	8621	13646	8473	8476	6246	8328	6068	8180	7568	8029		7877		7724		7569		7412		
Austria	100-Holding Account	Fernwärme St. Pölten GmbH 	8	FN 302796 p	open	Account holder	Fernwärme St. Pölten GmbH	Julius Raab-Promenade 49		3100	St. Pölten	Austria	8	FHKW Süd StW St. Pölten	EFE041	2004-01-02				1047310490	Julius Raab-Promenade 49		3100	St. Pölten	AT			20-Combustion of fuels	Josef Sedlak	Julius Raab-Promenade 49		3100	St. Pölten	AT	16238	17453	16238	19176	16238	11481	14294	13945	14294	15507	14294	8462	14294	1203	14294	1704	2566	2169	2296	1467	2034	1471	1780		1535		1297		1067		845		
Austria	100-Holding Account	Fernwärme St. Pölten GmbH 	9	FN 302796 p	open	Account holder	Fernwärme St. Pölten GmbH	Julius Raab-Promenade 49		3100	St. Pölten	Austria	9	FHKW Nord StW St. Pölten	EFE040	2004-01-02				1047310484	Julius Raab-Promenade 49		3100	St. Pölten	AT			20-Combustion of fuels	Josef Sedlak	Julius Raab-Promenade 49		3100	St. Pölten	AT	60790	52855	60790	51085	60790	51654	52900	52183	52900	46566	52900	31006	52900	30788	52900	30801	35182	32431	31484	30003	27891	32831	24412		21043		17783		14628		11586		
Austria	100-Holding Account	Vetropack Austria GmbH 	10	FN 101692 y	open	Account holder	Vetropack Austria GmbH	Manker Straße 49		3380	Pöchlarn	Austria	10	Vetropack Pöchlarn	IGL173	2004-01-01				20000.00585	Manker Strasse 49		3380	Pöchlarn	AT			31-Manufacture of glass	Johann Reiter	Manker Strasse 49		3380	Pöchlarn	AT	51651	47455	51651	55087	51651	53831	49161	56782	49161	54512	49161	57062	49161	57397	49161	52792	50855	56565	49868	56240	48876	57278	47877		46872		45862		44845		43829		
