National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Bulgaria	100-Holding Account	E.Miroglio AD 	1	119603547	open	Account holder	E.Miroglio AD	Industrialen		8600	Yambol	Bulgaria	1	E.Miroglio -Yambol	BG-P55	2008-11-30					Industrialen		8600	Yambol	BG			20-Combustion of fuels	Gaetano Rimini	str.General Dragomirov 9-B-5		8800	Sliven	BG						3914	6605	6605	8904	6631	7673	8116	7673	8546	8000	6963	5425	7291	5331	7337	5236	8467	5139		5042		4944		4844		4744		
Bulgaria	100-Holding Account	E.Miroglio AD 	2	119603547	open	Account holder	E.Miroglio AD	Industrialen		8800	Sliven	Bulgaria	2	E.Miroglio-Sliven	BG-P56	2008-11-30					Industrialen		8800	Sliven	BG			20-Combustion of fuels	Gaetano Rimini	str.General Dragomirov 9-B-5		8800	Sliven	BG						16574	6034	6034	16894	5262	14560	5083	14560	5276	15180	4525	14134	6395	13888	3831	13639	5270	13388		13135		12878		12619		12360		
Bulgaria	100-Holding Account	Vidahim  AD 	3	815123066	open	Account holder	Vidahim  AD	Ujna Promichlena Zona		3700	Vidin	Bulgaria	3	TEC Vidahim AD	BG-P62	2008-11-30					Ujna Promichlena Zona		3700	Vidin	BG			20-Combustion of fuels	Tsvetomir Leshtarski	k-s 'Himik' bl. 29B, et.4, ap. 7		3700	Vidin	BG						572611	489222	489222	583678	535742	503018	430294	503023	380013	524461	385374	68653110318****	357554	67458127954****	303279	66264106628****	98008	32535		31938		31340		30743		30146		
Bulgaria	100-Holding Account	Toplofikacia Pernik AD 	4	113012360	open	Account holder	Toplofikacia Pernik AD	q.Mochino		2303	Pernik	Bulgaria	4	TEC Republika	BG-P28	2008-11-30					q.Mochino		2303	Pernik	BG			20-Combustion of fuels	Stoycho Vasilev	str.Brodo		2300	Pernik	BG						768318	553311	553311	663536	402469	571840	421894	571845	487037	596217	453960	218426172746****	480770	187011148068****	513948	158179123390****	456894	131891		108034		86518		67402		53387		
Bulgaria	100-Holding Account	"Trakya Glass Bulgaria" EAD 	5	117606893	open	Account holder	"Trakya Glass Bulgaria" EAD	q.Vabel		7700	Targovichte	Bulgaria	5	"Trakya Glass Bulgaria"	BG-P40	2008-11-30					q.Vabel		7700	Targovichte	BG			31-Manufacture of glass	Sevket Asilkazanci	Petko R. Slaveikov 22		7700	Targovishte	BG						157307	156774	156774	208195	171310	179424	191975	179426	193088	187073	183615	165862	189825	16298038304*****	231410	16006541366*****	315270	15712040621*****		15414439875*****		15113839130*****		14809538383*****		14504137638*****		
Bulgaria	100-Holding Account	Deven AD 	6	103004325	open	Account holder	Deven AD	Promichlena zona-UG		9160	Devnia	Bulgaria	6	Deven AD	BG-P72	2008-11-30					Promichlena zona-UG		9160	Devnia	BG			20-Combustion of fuels												1622014	1508045	1508045	1653364	925045	1527070	1465565	1849049	1596833	1927854	1612604	130130163862****	1526718	116454140453****	1685183	103166117044****	1455781	90299		77835		65775		54106		42855		
Bulgaria	100-Holding Account	"TOPLOFICATSIA VT" AD 	7	104003977	open	Account holder	"TOPLOFICATSIA VT" AD	str.Nikola Gabrovski 71A		5002	Veliko Tarnovo	Bulgaria	7	" ??PLOFICATSIA  VT"	BG-P89	2008-11-30					str.Nikola Gabrovski 71A		5002	Veliko Tarnovo	BG			20-Combustion of fuels	Petar Petrov	Industrialna zonaOrion ,str3020,32,et.7		1000	Sofia	BG						16143	15947	15947	19359	16812	16684	16195	16684	16072	17395	16552	101884344****	15674	89163723****	14944	78993103****	11908	6913		5959		5036		4142		3281		
Bulgaria	100-Holding Account	'Toplofikacia Sliven' EAD 	8	119004654	open	Account holder	'Toplofikacia Sliven' EAD	str. Stefan Karadja 23		8800	Sliven	Bulgaria	8	Toplofikacia Sliven	BG-P35	2008-11-30					str. Stefan Karadja 23		8800	Sliven	BG			20-Combustion of fuels												282003	232626	232626	34362	205983	29614	205807	62554	224128	119781	250257	5896677055****	189710	4829266047****	254438	3881455039****	229003	30502		23299		18493		15212		12049		
Bulgaria	100-Holding Account	Contour Global Maritsa East 3 	9	130020522	open	Account holder	Contour Global Maritsa East 3	bul Sitnyakovo 48, fl.9		1505	Sofia	Bulgaria	9	TEC ContourGlobal Maritsa East 3	BG-P63	2008-11-30					bul.Al.Stamboliiski 103,et.5		1303	Sofia	BG			20-Combustion of fuels												4804394	5166302	5166302	7021542	4949791	6051215	6086209	6051270	6482633	6309172	4547624	01884763****	3481176	01615511****	4113603	01346259****	5759680											
Bulgaria	100-Holding Account	"Balgarska Petrolna Rafineria"- EOOD 	10	131184930	open	Account holder	"Balgarska Petrolna Rafineria"- EOOD	str. Stefan Karadja 2		1080	Sofia	Bulgaria	10	Balgarska Petrolna Rafineria	BG-P119	2008-11-30					Zapadna Industrialna zona		5800	Pleven	BG			21-Refining of mineral oil	Isay Lazarov	str. B. Shivachev 35, ?t.3, ?p 5		5800	Pleven	BG						11795	7897	7897	12023	2963	10361	2588	10362	2736	10803	2965	8988	2885	8832	2880	8674	3235	8514		8353		8190		8025		7860		
Bulgaria	100-Holding Account	TPP Bobov Dol 	11	109513731	open	Account holder	TPP Bobov Dol	Goliamo selo		2635	Goliamo selo	Bulgaria	11	TPP Bobov Dol	BG-P58	2008-11-30					obl.Kustendilska		2600	Dupnitza	BG			20-Combustion of fuels	Vladimir Vladimirov	obl.Kustendil		2600	Dupnitza	BG						2912575	2580355	2580355	2630228	2139721	2266749	2380540	2266770	2829204	1602695	1717912	01552429****	2030790	01348030****	2301350	01123358****	2458329											
Bulgaria	100-Holding Account	Holcim Bulgaria S.A 	12	816089656	open	Account holder	Holcim Bulgaria S.A	obl.Montana		3000	Beli Izvor	Bulgaria	12	Holcim Bulgaria -Beli Izvor	BG-P91	2008-11-30					obl.Montana		3000	Beli Izvor	BG			29-Production of cement clinker												630453	486648	486648	776236	401864	685413	308082	685419	366055	714632	365862	690735	374987	678737	383494	666599	398398	654334		641937		629419		616745		604027		
Bulgaria	100-Holding Account	Holcim Bulgaria S.A. 	13	816089656	closed	Account holder	Holcim Bulgaria S.A.	obl.Montana		3000	Beli Izvor	Bulgaria	13	Holcim Bulgaria -Pleven	BG-P90	2008-11-30	2012-02-22				Zapadna industrialna zona		5800	Pleven	BG			6-Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces	Rainichka Tzvetkova	q.Seniche 52		3000	Vratza	BG						230712	220109	220109	259660	55617	223777	2600	223779	0	0																		
Bulgaria	100-Holding Account	Shavarna -97 OOD 	14	114098429	closed	Account holder	Shavarna -97 OOD	str.Panaiot Hitov 1		5900	Levski	Bulgaria	14	Tuhlen ceh - Asenovci	BG-P47	2008-11-30	2012-01-20				c.Levski		5913	Asenovci	BG			99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC												2779	2765	2756	2833	82	2441	61	2441	0	0																		
