National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Cyprus	100-Holding Account	Harilaos Hadjiyerou 	210000000000001	19101266G	open	Account holder	Harilaos Hadjiyerou	11 Amfipoleos str., 2025 Strovolos, Nicosia		2025	Nicosia	Cyprus	210000000000001	EAC Vasilikos Power Station	1	2006-08-09					Vasilikos, 7738, Limassol		7738	Limassol	CY			1-Combustion installations with a rated thermal input exceeding 20 MW	Harilaos Hadjiyerou	11 Amfipoleos str., 2025 Strovolos, Nicosia		2025	Nicosia	CY		1245389		1565277		1676010	1259446	1703920	1396493	1788007	1557277	2082321	1762358	1127595	2019293	420127	0868904****	1405691	0757188****	1674982	0657885****	1807252	0546169****		0434452****		0322736****		0198607****		0		
Cyprus	100-Holding Account	Harilaos Hadjiyerou 	210000000000002	19101266G	open	Account holder	Harilaos Hadjiyerou	11 Amfipoleos str., 2025 Strovolos, Nicosia		2025	Nicosia	Cyprus	210000000000002	EAC Moni Power Station	2	2006-08-09					Pyrgos, 4534, Limassol		4534	Limassol	CY			1-Combustion installations with a rated thermal input exceeding 20 MW	Harilaos Hadjiyerou	11 Amfipoleos str., 2025 Strovolos, Nicosia		2025	Nicosia	CY		610670		497481		484318	533473	492824	546763	446322	550022	283476	590958	525568	648445	565727	0482659****	11711	0420602****	10893	0365442****	12742	0303385****		0241329****		0179273****		0110322****		0		
Cyprus	100-Holding Account	Harilaos Hadjiyerou 	210000000000003	19101266G	open	Account holder	Harilaos Hadjiyerou	11 Amfipoleos str., 2025 Strovolos, Nicosia		2025	Nicosia	Cyprus	210000000000003	EAC Dhekelia Power Station	3	2006-08-09					Dhekelia, 7506, Larnaca		7506	Larnaca	CY			1-Combustion installations with a rated thermal input exceeding 20 MW	Harilaos Hadjiyerou	11 Amfipoleos str., 2025 Strovolos, Nicosia		2025	Nicosia	CY		1615785		1590622		1641339	1237780	1770549	1361435	1758138	1417370	1502204	1513658	2074875	1600886	2560075	01167514****	1412330	01017405****	1254445	0883975****	1203009	0733866****		0583757****		0433648****		0266860****		0		
Cyprus	100-Holding Account	Vassiliko Cement Works Public Company Ltd 	210000000000004	E1210	open	Account holder	Vassiliko Cement Works Public Company Ltd	Vassiliko Cement Company, Mari, 7736, Larnaca		7736	Larnaka	Cyprus	210000000000004	Vasiliko Cement Works Public Company Ltd - Vassilikos Cement Plant	4	2006-08-09					Mari, 7736, Larnaca		7736	Larnaca	CY			6-Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces	Giorgos Savva	Vassiliko Cement Company, Mari, 7736, Larnaca		7736	Larnaka	CY		1145721		1119609		1139518	1182506	1125221	1182506	1064968	1244479	856827	1368423	740228	1720968	798264	838904317509*****	1173202	824333311984*****	1506658	809591306460*****	1326076	794695300935*****		779638295410*****		764435289886*****		749043284361*****		733597278836*****		
Cyprus	100-Holding Account	Vassiliko Cement Works Public Company Ltd 	210000000000005	E1210	closed	Account holder	Vassiliko Cement Works Public Company Ltd	Vassiliko Cement Company, Mari, 7736, Larnaca		7736	Larnaka	Cyprus	210000000000005	Vasiliko Cement Works Public Company Ltd - Moni Cement Plant	5	2006-08-09	2011-09-30				Pyrgos, 4534, Limassol		4534	Limassol	CY			6-Installations for the production of cement clinker in rotary kilns or lime in rotary kilns or in other furnaces	Giorgos Savva	Pyrgos, 4534, Limassol		4534	Limassol	CY		335599		351890		320088	352544	349957	352544	219912	352544	268602	352544	85441	0	0																	
Cyprus	100-Holding Account	Christos Poyiadjis 	210000000000006	E7473	open	Account holder	Christos Poyiadjis	16th km old Nicosia-Limassol road, 1306, Nisou Industrial Area, Nicosia		1306	Nicosia	Cyprus	210000000000006	United Brickworks Ltd	6	2006-08-09					16th Km Old Nicosia-Limassol road, 1306, Nisou Industrial Area		1306	Nicosia	CY			8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	Christos Poyiadjis	16th km old Nicosia-Limassol road, 1306, Nisou Industrial Area, Nicosia		1306	Nicosia	CY		15908		17191		18701	32151	17347	32151	10554	32151	7607	32151	5529	32155	4807	6993	2526	3436	2084	3375	2780	3312		3249		3186		3122		3057		
Cyprus	100-Holding Account	Marios Hadjigavriel 	210000000000007	E65628	open	Account holder	Marios Hadjigavriel	Socratous 7, Viomichaniki Zoni Geriou, 2250, Nicosia		2250	Nicosia	Cyprus	210000000000007	Keramopiia Palekithrou (K.A.P.A.) Ltd	7	2006-08-09					Sokratous 7, Viomichaniki Zoni Geriou, 2250, Nicosia		2250	Nicosia	CY			8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	Marios Hadjigavriel	Sokratous 7, Viomichaniki Zoni Geriou, 2250, Nicosia		2250	Nicosia	CY		16604		19874		18575	32855	19849	32855	14178	32855	9099	32855	6137	32859	5183	7637	3017	3752	2974	3685	3130	3617		3549		3479		3409		3339		
Cyprus	100-Holding Account	Kyriakos Chrysafis 	210000000000008	E11051	open	Account holder	Kyriakos Chrysafis	Larnaca-Limassol Road, Kalo Chorion, 6305, Larnaca		6305	Larnaca	Cyprus	210000000000008	Chrysafis Ceramics Ltd	8	2006-08-09					Larnaca-Limassol Road, Kalon Chorion, 6305 Larnaca		6305	Larnaca	CY			8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	Kyriakos Chrysafis	Larnaca-Limassol Road, Kalo Chorion, 6305, Larnaca		6305	Larnaca	CY		17133		18674		18119	33926	18415	33926	11393	33926	7654	33926	5618	33930	5365	7348	2964	3610	2839	3545	3351	3480		3415		3347		3281		3213		
Cyprus	100-Holding Account	George Ntoas 	210000000000009	E27769	open	Account holder	George Ntoas	P.O. Box 27365		1644	Nicosia	Cyprus	210000000000009	Kakoyiannis Brick Factory Ltd	9	2006-08-09					P.O. Box 27365		1644	Nicosia	CY			8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	George Ntoas	Viomichaniki Periochi Nisou, 1644, Nicosia		1644	Nicosia	CY		17103		17297		18087	34723	17131	34723	9500	34723	8035	34723	5930	34723	4977	6868	2857	3374	3014	3314	2666	3253		3191		3129		3066		3003		
Cyprus	100-Holding Account	Yiannakis Melios 	210000000000010	E3403	open	Account holder	Yiannakis Melios	Parodos Dimitri Stavrou, Geri, 2224, Nicosia		2224	Nicosia	Cyprus	210000000000010	Melios &amp; Paphitis Enterprises Ltd	10	2006-08-09					Parodos Dimitri Stavrou, Geri, 2224, Nicosia		2224	Nicosia	CY			8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	Yiannakis Melios	Parodos Dimitri Stavrou, Geri, 2224, Nicosia		2224	Nicosia	CY		18943		18248		17535	33997	17652	33998	10849	33998	7378	33998	5870	33998	5146	7412	3112	3642	3183	3576	2763	3510		3444		3377		3309		3241		
