National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Finland	100-Holding Account	Kanteleen Voima Oy 	1	2069341-4	open	Account holder	Kanteleen Voima Oy	PL 47	n/a	86601	HAAPAVESI	Finland	1	Haapaveden voimalaitos	FI-37831104-1	2007-02-20					PL 47	PL 47	86601	Haapavesi	FI			1-Combustion installations with a rated thermal input exceeding 20 MW	Antti Vilkuna	Piirikatu 6C	-	65320	Vaasa	FI	536654	65256	536654	688809	536654	989090	173681	503582	173678	372351	173678	742385	173678	493830	173678	208457		176127		345426		49882											
Finland	100-Holding Account	Fortum Power and Heat Oy 	2	0109160-2	open	Account holder	Fortum Power and Heat Oy	PL 10		00048	FORTUM	Finland	2	Inkoon voimalaitos	FI-37931104	2005-02-28					Voimalantie 50	Voimalantie 50	10210	Inkoo	FI			1-Combustion installations with a rated thermal input exceeding 20 MW	Eija Merikoski-Järvinen	PL 100	Keilaniementie 1, Espoo	00048	Fortum	FI	948037	25102	948036	1599549	948036	897380	310236	77237	310234	120705	310234	986147	310234	994434	310234	203802		827784		5854		4243											
Finland	100-Holding Account	Fortum Power and Heat Oy 	3	0109160-2	open	Account holder	Fortum Power and Heat Oy	PL 10		00048	FORTUM	Finland	3	Meri-Porin voimalaitos	FI-21431104	2005-02-28					PL 90	PL 90	28901	Pori	FI			1-Combustion installations with a rated thermal input exceeding 20 MW	Eija Merikoski-Järvinen	PL 100	Keilaniementie 1, Espoo	00048	Fortum	FI	1452629	295946	1452630	2420094	1452630	2528711	475169	1354694	475168	2279886	475168	2814440	475168	1355013	475168	728246		1368183		1069973		356485											
Finland	100-Holding Account	PVO-Huippuvoima Oy 	4	1062421-2	closed	Account holder	PVO-Huippuvoima Oy	Frilundintie 7	Frilundintie 7	65170	Vaasa	Finland	4	Vaskiluoto 3-voimalaitos	FI-60831104	2005-02-28	2015-12-31		Pohjolan Voima Oy		Reininkatu 1	Reininkatu 1	65170	Vaasa	FI			20-Combustion of fuels	Aimo Tenkula	Frilundintie 7	Frilundintie 7 F 18	65170	Vaasa	FI	21533	0	21533	1549	21533	698	7134	863	7134	573	7134	425	7134	357	7134	310		206		386		0											
Finland	100-Holding Account	PVO-Lämpövoima Oy 	5	0904132-7	open	Account holder	PVO-Lämpövoima Oy	Frilundintie 7	Frilundintie 7	65170	Vaasa	Finland	5	Kristiinan voimalaitos	FI-60931104	2005-02-28			Pohjolan Voima Oy		Karhusaari	Karhusaari	64100	Kristiinankaupunki	FI			1-Combustion installations with a rated thermal input exceeding 20 MW	Jussi Rautjärvi	Töölönkatu 4		00100	Helsinki	FI	1072270	297725	1072271	1393806	1072271	1015660	350860	541476	350860	917385	350860	1238974	350860	535820	350860	297225		814561		461310		115503											
Finland	100-Holding Account	PVO-Lämpövoima Oy 	6	0904132-7	open	Account holder	PVO-Lämpövoima Oy	Frilundintie 7	Frilundintie 7	65170	Vaasa	Finland	6	Tahkoluodon voimalaitos	FI-61031104	2005-02-28			Pohjolan Voima Oy		Tahkoluoto	Tahkoluoto	28900	Pori	FI			1-Combustion installations with a rated thermal input exceeding 20 MW	Aimo Tenkula	Frilundintie 7	Frilundintie 7 F 18	65170	Vaasa	FI	929358	162221	929357	1193842	929357	978269	304007	472412	304004	592267	304004	1233427	304004	388412	304004	296002		673607		326552		115090											
Finland	100-Holding Account	Nordkalk Oy Ab 	7	1796277-5	closed	Account holder	Nordkalk Oy Ab	Skräbbölentie 18	Skräbbölentie 18	21600	Parainen	Finland	7	Lappeenrannan kalkkitehdas	FI-37231104	2005-02-28	2014-09-19				Poikkitie 1	Poikkitie 1	53500	Lappeenranta	FI			30-Production of lime, or calcination of dolomite/magnesite	Kjell Dahlberg	Skräbbölentie	Skräbbölentie	21600	Parainen	FI	97116	92071	97116	91749	97116	90026	94159	89097	94158	52690	94158	81949	94158	83803	94158	73108	57439	80979	56322	19154	0		0		0		0		0		0		
Finland	100-Holding Account	Nordkalk Oy Ab 	8	1796277-5	open	Account holder	Nordkalk Oy Ab	Skräbbölentie 18	Skräbbölentie 18	21600	Parainen	Finland	8	Louhin kalkkitehdas	FI-37331104	2005-02-28					Louhi	Louhi	57100	Savonlinna	FI			30-Production of lime, or calcination of dolomite/magnesite	Markus Fagervik	Skräbbölentie 18		21600	Parainen	FI	78041	65516	78040	65095	78040	62908	76056	55968	76053	17663	76053	223	76053	0	76053	10811	10433	17962	20504	59000	40274	52773	39533		38784		38028		37262		36494		
Finland	100-Holding Account	Nordkalk Oy Ab 	9	1796277-5	open	Account holder	Nordkalk Oy Ab	Skräbbölentie 18	Skräbbölentie 18	21600	Parainen	Finland	9	Paraisten kalkkitehdas	FI-37131104	2005-02-28					Kalkkitehtaantie	Kalkkitehtaantie	21600	Parainen	FI			30-Production of lime, or calcination of dolomite/magnesite	Markus Fagervik	Skräbbölentie 18		21600	Parainen	FI	86245	90436	86244	95722	86244	96561	83263	95111	83263	61699	83263	94981	83263	95925	83263	59286	63305	70211	61935	91146	60562	84356	59187		57810		56432		55050		53675		
Finland	100-Holding Account	Nordkalk Oy Ab 	10	1796277-5	open	Account holder	Nordkalk Oy Ab	Skräbbölentie 18	Skräbbölentie 18	21600	Parainen	Finland	10	Raahen kalkkitehdas	FI-37531104	2005-02-28					PL 93	PL 93	92101	Raahe	FI			30-Production of lime, or calcination of dolomite/magnesite	Markus Fagervik	Skräbbölentie 18		21600	Parainen	FI	180200	181274	180199	194096	180199	191995	173328	161231	173326	146532	173326	153802	173326	168247	173326	160229	223319	173649	219441	178968	215516	154874	211551		207543		203496		199398		195286		
Finland	100-Holding Account	Nordkalk Oy Ab 	11	1796277-5	open	Account holder	Nordkalk Oy Ab	Skräbbölentie 18	Skräbbölentie 18	21600	Parainen	Finland	11	Tytyrin kalkkitehdas	FI-37431104	2005-02-28					Tytyri	Tytyri	08100	Lohja	FI			30-Production of lime, or calcination of dolomite/magnesite	Markus Fagervik	Skräbbölentie 18		21600	Parainen	FI	249980	175325	249979	191910	249979	189010	242356	162942	242354	153563	242354	121704	242354	150068	242354	117894	135029	109065	132350	84005	66336	79466	64793		63251		61708		60162		58624		
