National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Greece	100-Holding Account	ΓΙΟΥΛΑ Α.Ε. 	1	000242101000	open	Account holder	ΓΙΟΥΛΑ Α.Ε.	ΟΡΥΖΟΜΥΛΩΝ 5	ΑΤΤΙΚΗ	12244	ΑΙΓΑΛΕΩ	Greece	1	YIOULA GLASSWORKS S.A.	8-2	2005-01-01				ELA100635	ΟΡΥΖΟΜΥΛΩΝ 5	ΑΙΓΑΛΕΩ ΑΤΤΙΚΗ	12244	ΑΘΗΝΑ	GR			31-Manufacture of glass	LOUKAS HALOFTIS	ΟΡΥΖΟΜΥΛΩΝ 5	ΑΤΤΙΚΗ	12244	ΑΙΓΑΛΕΩ	GR	65531	46386	65531	45374	65531	50795	57117	51232	57117	44140	57117	47679	57117	35070	57117	46059	38923	47444	38247	48033	37563	47258	36872		36174		35468		34754		34037		
Greece	100-Holding Account	KRONOS 	2	NA	closed	Account holder	KRONOS	25ο ΧΛ ΝΕΟ ΑΘΗΝΩΝ ΚΟΡΙΝΘΟΥ	ΑΤΤΙΚΗ	19200	ΕΛΕΥΣΙΝΑ	Greece	2	ΥΑΛΟΥΡΓ. ΓΙΟΥΛΑ (ΚΡΟΝΟΣ)	8-3	2005-01-01				ELA300360	25οχλμ Ν.Ε.Ο. Αθηνών Κορίνθου	ΑΤΤΙΚΗ	19200	ΕΛΕΥΣΙΝΑ	GR			7-Installations for the manufacture of glass including glass fibre	ΝΙΚΟΣ ΧΡΙΣΤΟΔΟΥΛΟΥ	ΟΡΥΖΟΜΥΛΩΝ 5	ΑΤΤΙΚΗ	12244	ΑΙΓΑΛΕΩ	GR	21820	21447	21820	2231	21820					Not Reported		Not Reported																					
Greece	100-Holding Account	ΑΚΕΚ ΑΕ 	3	077082127000	open	Account holder	ΑΚΕΚ ΑΕ	ΒΙΠΕ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ	ΟΔΟΣ ΛΑΜΔΑ	71500	ΗΡΑΚΛΕΙΟ	Greece	3	AKEK S.A.	9-1	2005-01-01			ΑΚΕΚ Α.Ε.	EL9100952	ΒΙΠΕ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ	ΟΔΟΣ Λ, ΚΡΗΤΗ	71500	ΗΡΑΚΛΕΙΟ	GR			32-Manufacture of ceramics	MICHAIL METAXAS	ΒΙΠΕ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ	ΟΔΟΣ Λ	71500	ΗΡΑΚΛΕΙΟ	GR	23277	29380	23277	22451	23277	27744	31812	26286	31812	14262	31812	8023	31812	5227	72552	4295	3583	7213	7042	0	0	9946	13577		13320		13060		12797		12533		
Greece	100-Holding Account	ΑΝΑΓΝΩΣΤΑΡΑ Α.Ε. 	4	015136745000	open	Account holder	ΑΝΑΓΝΩΣΤΑΡΑ Α.Ε.	ΑΝΤΙΚΑΛΑΜΟΣ ΜΕΣΣΗΝΙΑΣ	ΜΕΣΣΗΝΙΑ	24100	ΚΑΛΑΜΑΤΑ	Greece	4	ANAGNOSTARAS, A., BROS S.A. CERAMICS	9-2	2005-01-01				EL1701004	ΑΝΤΙΚΑΛΑΜΟΣ ΜΕΣΣΗΝΙΑΣ	ΜΕΣΣΗΝΙΑ	24100	ΚΑΛΑΜΑΤΑ	GR			32-Manufacture of ceramics	ATHANASIOS ANAGNOSTARAS	ΑΝΤΙΚΑΛΑΜΟΣ ΜΕΣΣΗΝΙΑΣ	ΜΕΣΣΗΝΙΑ	24100	ΚΑΛΑΜΑΤΑ	GR	19818	19149	19818	17851	19818	16802	25482	20868	25482	6437	25482	5289	25482	2652	25482	1788	4047	1436	2700	0	2652	0	2603		2554		2504		2454		2403		
Greece	100-Holding Account	ΧΑΛΚΙΣ ΑΒΕΕ ΒΑΒΟΥΛΙΩΤΗΣ ΓΟΥΝΑΡΗΣ ΜΗΤΑΚΗΣ 	5	N046137022000	open	Account holder	ΧΑΛΚΙΣ ΑΒΕΕ ΒΑΒΟΥΛΙΩΤΗΣ ΓΟΥΝΑΡΗΣ ΜΗΤΑΚΗΣ	ΒΑΣΙΛΙΚΟ ΧΑΛΚΙΔΑΣ	ΕΥΒΟΙΑ	34002	ΧΑΛΚΙΔΑ	Greece	5	VAVOULIOTIS (VASILIKO CHALKIS PLANT)	9-3	2005-01-01				EL0400881	ΒΑΣΙΛΙΚΟ ΧΑΛΚΙΔΑΣ	ΔΗΜΟΣ ΛΗΛΑΝΤΙΩΝ	34002	ΕΥΒΟΙΑ	GR			32-Manufacture of ceramics	PANAGIOTIS HATIRAS	ΒΑΣΙΛΙΚΟ ΧΑΛΚΙΔΑΣ	ΕΥΒΟΙΑ	34002	ΧΑΛΚΙΔΑ	GR	35063	34514	35063	22864	35063	30760	40708	20358	40708	18768	40708	16908	40708	11894	40708	10630	13404	6472	6586	2528	3234	5933	6349		6229		6107		5984		5861		
Greece	100-Holding Account	ΧΑΛΚΙΣ ΑΒΕΕ ΒΑΒΟΥΛΙΩΤΗΣ ΓΟΥΝΑΡΗΣ ΜΗΤΑΚΗΣ 	6	N046137022000	open	Account holder	ΧΑΛΚΙΣ ΑΒΕΕ ΒΑΒΟΥΛΙΩΤΗΣ ΓΟΥΝΑΡΗΣ ΜΗΤΑΚΗΣ	ΒΑΣΙΛΙΚΟ ΧΑΛΚΙΔΑΣ	ΕΥΒΟΙΑ	34002	ΧΑΛΚΙΔΑ	Greece	6	VAVOULIOTIS  (VIOTIA PLANT)	9-4	2005-01-01				EL0300645	63ο χλμ ΕΟ ΑΘΗΝΩΝ-ΛΑΜΙΑΣ	ΒΟΙΩΤΙΑΣ	32009	ΣΧΗΜΑΤΑΡΙ	GR			32-Manufacture of ceramics	ΠΑΝΑΓΙΩΤΗΣ ΧΑΤΗΡΑΣ	63ο  χλμ ΕΟ ΑΘΗΝΩΝ ΛΑΜΙΑΣ	ΒΟΙΩΤΙΑ	32009	ΣΧΗΜΑΤΑΡΙ	GR	55760	56632	55760	48336	55760	46565	59880	39146	59880	27838	59880	22926	59880	20745	59880	16521	20264	5994	9957	13166	19556	6740	9598		9417		9233		9047		8860		
Greece	100-Holding Account	KEBE  AE 	7	026531340000	open	Account holder	KEBE  AE	NEA  SANTA		54500	KILKIS	Greece	7	ΕΓΚΑΤΑΣΤΑΣΗ ΚΟΜΟΤΗΝΗΣ	9-5	2005-01-01				EL7300730	3ο χλμ Κομοτηνής Ξάνθης	ΚΟΜΟΤΗΝΗ	69100	Κομοτηνή	GR			32-Manufacture of ceramics							27476	22433	27476	24894	27476	25738	25788	23122	25788	0	25788	0	25788	0	25788	0	10412	0	10231	0	10049	0	9864		9677		9488		9297		9105		
Greece	100-Holding Account	ΒΙΤΡΟΥΒΙΤ ΑΕ 	8	N/A	closed	Account holder	ΒΙΤΡΟΥΒΙΤ ΑΕ	14ο χλμ ΠΕΟ ΘΕΣ/ΚΗ ΒΕΡΟΙΑ	ΘΕΣΣΑΛΟΝΙΚΗ	57011	ΘΕΣΣΑΛΟΝΙΚΗ	Greece	8	ΒΙΤΡΟΥΒΙΤ Α.Ε.	9-6	2005-01-01				EL5401079	14ο χλμ ΠΕΟ ΘΕΣ/ΝΙΚΗ -ΒΕΡΟΙΑ	ΘΕΣΣΑΛΟΝΙΚΗ	57011	ΘΕΣΣΑΛΟΝΙΚΗ	GR			8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	ΘΩΜΑΣ ΒΑΛΑΛΑΣ	14ο χλμ ΠΕΟ ΘΕΣ/ΚΗ ΒΕΡΟΙΑ	ΘΕΣΣΑΛΟΝΙΚΗ	57011	ΘΕΣΣΑΛΟΝΙΚΗ	GR	16247	10222	16247	9812	16247	10416																											
Greece	100-Holding Account	ΚΕΡΑΜΕΙΑ ΑΛΛΑΤΙΝΙ ΑΒΕΤΕ 	9	014495204001	closed	Account holder	ΚΕΡΑΜΕΙΑ ΑΛΛΑΤΙΝΙ ΑΒΕΤΕ	10ο χλμ ΚΙΛΚΙΣ ΔΟΙΡΑΝΗΣ	ΣΤΑΥΡΟΧΩΡΙ	61100	ΚΙΛΚΙΣ	Greece	9	CERAMICS ALLATINI S.A.	9-9	2005-01-01	2012-05-04			EL5700310	10ο χλμ ΚΙΛΚΙΣ-ΔΟΙΡΑΝΗΣ	ΣΤΑΥΡΟΧΩΡΙ ΚΙΛΚΙΣ	61100	ΚΙΛΚΙΣ	GR			8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	ACHILLEAS KOTSIAS	10ο χλμ ΚΙΛΚΙΣ ΔΟΙΡΑΝΗΣ	ΣΤΑΥΡΟΧΩΡΙ	61100	ΚΙΛΚΙΣ	GR	6410	0	6410	0	6410	0	3255	0	3255	0	3255	0	3255	Not Reported	0																		
Greece	100-Holding Account	ΚΕΡΑΜΟΠΟΙΙΑ ΧΑΛΚΙΔΙΚΗΣ ΑΕ 	10	032219457000	open	Account holder	ΚΕΡΑΜΟΠΟΙΙΑ ΧΑΛΚΙΔΙΚΗΣ ΑΕ	ΑΓΙΟΣ ΜΑΜΑΣ	ΧΑΛΚΙΔΙΚΗ	63200	ΧΑΛΚΙΔΙΚΗ	Greece	10	HALKIDIKI S.A. BRICKS INDUSTRY	9-10	2005-01-01			ΚΕΡΑΜΟΠΟΙΙΑ ΧΑΛΚΙΔΙΚΗΣ Α.Ε.	EL6401189	ΑΓΙΟΣ ΜΑΜΑΣ	ΧΑΛΚΙΔΙΚΗ	63200	ΧΑΛΚΙΔΙΚΗ	GR			32-Manufacture of ceramics	KONSTANTINOS CHRISTODOULIDIS	ΑΓΙΟΣ ΜΑΜΑΣ	ΧΑΛΚΙΔΙΚΗ	63200	ΧΑΛΚΙΔΙΚΗ	GR	29894	38149	29894	25848	29894	27202	29730	23144	29730	11260	29730	10814	29730	2911	29730	1382	5767	2478	5666	1435	5565	320	5463		5359		5255		5149		5043		
Greece	100-Holding Account	ΚΕΡΑΜΟΥΡΓΙΚΗ ΑΓΡΙΝΙΟΥ 	11	027698612000	open	Account holder	ΚΕΡΑΜΟΥΡΓΙΚΗ ΑΓΡΙΝΙΟΥ	6ο χλμ ΕΟ ΑΓΡΙΝΙΟΥ ΑΝΤΙΡΡΙΟΥ	ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ	30100	ΑΓΡΙΝΙΟ	Greece	11	AGRINIO TILE INDUSTRY S.A.	9-14	2005-01-01				EL0101208	6ο χλμ Ε.Ο. ΑΓΡΙΝΙΟΥ -ΑΝΤΙΡΡΙΟΥ	ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ	30100	ΑΓΡΙΝΙΟ	GR			32-Manufacture of ceramics	SPYRIDON SIMOS	6ο χλμ ΕΟ ΑΓΡΙΝΙΟΥ ΑΝΤΙΡΙΡΟΥ	ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ	30100	ΑΓΡΙΝΙΟ	GR	14459	14358	14459	14368	14459	13334	16592	12064	16592	7922	16592	8931	16592	6094	16592	3718	3639	656	0	Not Reported	0	Not Reported	0		0		0		0		0		
Greece	100-Holding Account	ΔΕΗ  ΑΕ 	12	000786301000	closed	Account holder	ΔΕΗ  ΑΕ	ΧΑΛΚΟΚΟΝΔΥΛΗ 29		10432	ΑΘΗΝΑ	Greece	12	ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΑΗΣ ΛΙΠΤΟΛ	1-1	2005-01-01	2015-11-17		ΔΕΗ	EL5801162	28ο ΧΛΜ ΠΤΟΛΕΜΑΪΔΑΣ - ΚΟΖΑΝΗΣ	ΠΤΟΛΕΜΑΪΔΑ	50200	ΕΟΡΔΑΙΑ - ΠΤΟΛΕΜΑΪΔΑ	GR			20-Combustion of fuels	PAVLOS BAXEVANIS	ΧΑΛΚΟΚΟΝΔΥΛΗ 29		10432	ΑΘΗΝΑ	GR	372034	358515	372034	282003	372034	335340	306822	250409	306822	233999	306822	153502	306822	158900	306822	152349	9834	117887	0	0	0	0	0		0		0		0		0		
Greece	100-Holding Account	ΔΕΗ  ΑΕ 	13	000786301000	open	Account holder	ΔΕΗ  ΑΕ	ΧΑΛΚΟΚΟΝΔΥΛΗ 29		10432	ΑΘΗΝΑ	Greece	13	ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΑΗΣ ΠΤΟΛΕΜΑΪΔΑΣ	1-2	2005-01-01			ΔΕΗ	EL5800902	22ο ΧΛΜ ΠΤΟΛΕΜΑΪΔΑΣ - ΚΟΖΑΝΗΣ	ΕΟΡΔΑΙΑ	50200	ΠΤΟΛΕΜΑΪΔΑ	GR			20-Combustion of fuels	PAVLOS BAXEVANIS	ΧΑΛΚΟΚΟΝΔΥΛΗ 29		10432	ΑΘΗΝΑ	GR	4692639	3487897	4692639	3839630	4692639	4330643	4101240	5150138	4101240	5027815	4101240	4204275	4101240	4376666	4101240	4068466	9971	3406363	8923	2541516	3953	0	0		0		0		0		0		
Greece	100-Holding Account	ΔΕΗ  ΑΕ 	14	000786301000	open	Account holder	ΔΕΗ  ΑΕ	ΧΑΛΚΟΚΟΝΔΥΛΗ 29		10432	ΑΘΗΝΑ	Greece	14	ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΑΗΣ ΚΑΡΔΙΑΣ	1-3	2005-01-01			ΔΕΗ	EL5800949	ΚΑΡΔΙΑ - ΠΤΟΛΕΜΑΪΔΑ	Τ.Θ. 17	50200	ΚΟΖΑΝΗ	GR			20-Combustion of fuels	PAVLOS BAXEVANIS	ΧΑΛΚΟΚΟΝΔΥΛΗ 29		10432	ΑΘΗΝΑ	GR	9830833	9815429	9830833	8763371	9830833	9505560	8409379	9644380	8409379	9646055	8409379	8399515	8409379	9285357	8409379	10635171	047797*****	8905278	042773*****	8548594	037893*****	8870729	033167*****		028589*****		024159*****		019873*****		015741*****		
Greece	100-Holding Account	ΔΕΗ  ΑΕ 	15	000786301000	open	Account holder	ΔΕΗ  ΑΕ	ΧΑΛΚΟΚΟΝΔΥΛΗ 29		10432	ΑΘΗΝΑ	Greece	15	ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΑΗΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ	1-4	2005-01-01			ΔΕΗ	EL5800876	13ο ΧΛΜ ΚΟΖΑΝΗΣ - ΘΕΣΣΑΛΟΝΙΚΗΣ		50100	ΚΟΖΑΝΗ	GR			20-Combustion of fuels	PAVLOS BAXEVANIS	ΧΑΛΚΟΚΟΝΔΥΛΗ 29		10432	ΑΘΗΝΑ	GR	12947693	13629229	12947693	12362217	12947693	12954019	11049784	11803191	11049784	12919320	11049784	14292671	11049784	14228640	11049784	14732181	50386	13105386	45091	11810688	39946	10558256	34963		30138		25468		20950		16594		
Greece	100-Holding Account	ΔΕΗ  ΑΕ 	16	000786301000	open	Account holder	ΔΕΗ  ΑΕ	ΧΑΛΚΟΚΟΝΔΥΛΗ 29		10432	ΑΘΗΝΑ	Greece	16	ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΑΜΥΝΤΑΙΟ ΦΛΩΡΙΝΑΣ	1-5	2005-01-01			ΔΕΗ	EL6300557	9ο ΧΛΜ ΑΜΥΝΤΑΙΟΥ - ΠΤΟΛΕΜΑΪΔΑΣ	ΑΜΥΝΤΑΙΟ ΦΛΩΡΙΝΑΣ	53200	ΦΛΩΡΙΝΑ	GR			20-Combustion of fuels	PAVLOS BAXEVANIS	ΧΑΛΚΟΚΟΝΔΥΛΗ 29		10432	ΑΘΗΝΑ	GR	5226639	5124545	5226639	5119688	5226639	3922271	4357395	5256992	4357395	4396383	4357395	4609479	4357395	5056625	4357395	5016496	5079	4197293	4546	4095373	4027	3743116	3525		3038		2567		2112		1673		
