National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Hungary	100-Holding Account	AES Borsodi Energetikai Kft. 'f.a' 	1	05-09-003017	closed	Account holder	AES Borsodi Energetikai Kft. 'f.a'	Ipari út	7	3700	Kazincbarcika	Hungary	1	AES Borsodi Energetikai Kft. Tiszapalkonyai Eromu	HU-UHG5377-1-04	2005-01-01	2014-04-22			1.(c)	Jedlik Ányos út Hrsz	2180	3580	Tiszaújváros	HU	47.904835627	21.055302154	20-Combustion of fuels	Richárd Tóth	Jedlik Ányos út Hrsz	2180	3580	Tiszaújváros	HU	523700	331095	523700	358830	523700	465675	233185	519742	233185	477764	233565	479380	233565	54236	0	Not Reported	0	Not Reported		Not Reported													
Hungary	100-Holding Account	AES Borsodi Energetikai Kft. 'f.a' 	2	05-09-003017	closed	Account holder	AES Borsodi Energetikai Kft. 'f.a'	Ipari út	7	3700	Kazincbarcika	Hungary	2	AES Borsodi Energetikai Kft. Borsodi Hoeromu	HU-UHG5288-1-04	2005-01-01	2014-03-29			1.(c)	Ipari út	4	3700	Kazincbarcika	HU	48.235423895	20.684347857	20-Combustion of fuels	Tibor Kozma	Ipari út	4	3700	Kazincbarcika	HU	464930	343954	464930	339891	464930	346520	156306	266877	156306	81554	156561	5912	156561	7805	0	Not Reported	0	Not Reported		Not Reported													
Hungary	100-Holding Account	AES Tisza Erõmû Kft. 	3	05-09-007689	closed	Account holder	AES Tisza Erõmû Kft.	Verebély László utca	2	3580	Tiszaújváros	Hungary	3	Tisza Eromu Kft.	HU-UHG5332-1-04	2005-01-01	2013-12-15			1.(c)	Verebély László utca	2	3580	Tiszaújváros	HU	47.916847806	21.075929082	20-Combustion of fuels	György Keszler	Verebély László utca	2	3580	Tiszaújváros	HU	1435860	862381	1435860	1076048	1435860	1218823	790781	1153755	790781	851167	792068	860670	792068	675455	792068	100990	0	0	0		0		0		0		0		0		0		
Hungary	100-Holding Account	Riegel Pharma Kft. 'FA' 	4	01-09-262916	closed	Account holder	Riegel Pharma Kft. 'FA'	Bányalég utca	2	1225	Budapest	Hungary	4	Riegel Pharma Kft. FA Energiaüzem kazánház	HU-UHG5431-1-04	2005-01-01	2012-12-31			4.(d)	Bányalég utca	2	1225	Budapest	HU	47.391166091	18.960026606	1-Combustion installations with a rated thermal input exceeding 20 MW	Katalin Bátoriné Rusz	Bányalég utca	2	1225	Budapest	HU	10715	6713	10715	5670	10715	3793	6661	3446	6661	2996	6661	2396	6661	2328	6661	2167																	
Hungary	100-Holding Account	EVONIK Agroferm Fermentációipari ZRt. 	5	09-10-000008	open	Account holder	EVONIK Agroferm Fermentációipari ZRt.	Hrsz	086/2	4183	Kaba	Hungary	5	EVONIK Agroferm ZRt. Energiaellátás	HU-UHG5150-1-04	2005-01-01				4.(a).IV	Nádudvari útfél Hrsz	086/11	4183	Kaba	HU	47.389777743	21.228866993	20-Combustion of fuels	László Csoma	Nádudvari útfél Hrsz	086/11	4183	Kaba	HU	31353	24198	31353	22021	31353	9857	24012	17528	24012	14633	24012	16163	24012	15712	24012	16214	18366	16457	18047	19276	17724	19209	17398		17069		16736		16399		16061		
Hungary	100-Holding Account	Alcoa-Köfém Székesfehérvári Könnyufémmu Kft. 	6	07-09-001598	open	Account holder	Alcoa-Köfém Székesfehérvári Könnyufémmu Kft.	Verseci út	1-15	8000	Székesfehérvár	Hungary	6	Alcoa-Köfém Kft. összes tüzeloberendezése (Köfém)	HU-UHG5314-1-04	2005-01-01				2.(e).II	Verseci út	1-15	8000	Székesfehérvár	HU	47.189825395	18.467225222	27-Production of secondary aluminium	Tünde Kóródiné Somogyi	Verseci út	1-15	8000	Székesfehérvár	HU	114209	98846	114209	104300	114209	96424	98085	91570	98085	57197	98085	68482	98085	69707	98085	65603	81952	72054	80528	76292	79088	76303	77633		76162		74677		73173		71664		
Hungary	100-Holding Account	ALFA-NOVA Kft. 	7	07-09-004392	open	Account holder	ALFA-NOVA Kft.	Építők útja 1.	1	2400	Dunaújváros	Hungary	7	Szekszárdi Vagyonkezelő Kft. Déli Fűtőmű	HU-UHG5256-1-04	2005-01-01					Bezerédi u. 2.	4	7100	Szekszárd	HU	46.340109017	18.713670501	20-Combustion of fuels	János Dr. Péter	Bezerédi u. 2.		7100	Szekszárd	HU	39070	32087	39070	28587	39070	18618	12669	11760	12669	11382	12669	14701	12669	16359	12669	14820	9773	15178	8747	13159	7747	14694	6778		5839		4931		4051		3205		
Hungary	100-Holding Account	ALFA-NOVA Kft. 	8	07-09-004392	open	Account holder	ALFA-NOVA Kft.	Építők útja 1.	1	2400	Dunaújváros	Hungary	8	Alfa-Nova Kft. Szolnoki Területi Igazgatóság	HU-UHG5258-1-04	2005-01-01					Széchenyi Krt.	2	5000	Szolnok	HU	47.190017589	20.195802786	20-Combustion of fuels	Gergely Vallyon	Széchenyi Krt.	2	5000	Szolnok	HU	26036	23063	26036	22722	26036	19356	7145	8243	7145	5570	7145	4744	7145	5799	7145	6305	4694	7095	4201	7970	3721	6452	3255		2804		2368		1946		1539		
Hungary	100-Holding Account	ALFA-NOVA Kft. 	9	07-09-004392	open	Account holder	ALFA-NOVA Kft.	Építők útja 1.	1	2400	Dunaújváros	Hungary	9	Alfa-Nova Kft. Szolnoki Ter. Ig. József A. Fûtõmû	HU-UHG5259-1-04	2005-01-01					Baross Gábor út	70	5000	Szolnok	HU	47.177837334	20.178506688	20-Combustion of fuels	Gergely Vallyon	Baross Gábor út	70	5000	Szolnok	HU	5745	5132	5745	6917	5745	7416	8420	6688	4727	6192	10097	5641	7691	5768	4727	3873	3695	3619	3297	2960	2921	3336	2556		2203		1863		1531		1214		
Hungary	100-Holding Account	ALFEN Almásfüzitői Energetikai és Szolgáltató Kft. 	10	11-09-005866	closed	Account holder	ALFEN Almásfüzitői Energetikai és Szolgáltató Kft.	Fõ út	1	2931	Almásfüzitõ	Hungary	10	ALFEN Almásfüzítoi Energetikai és Szolgáltató Kft.	HU-UHG5149-1-04	2005-01-01	2015-04-23				Fõ út	1	2931	Almásfüzitõ	HU	47.731292252	18.255866637	20-Combustion of fuels	Zsuzsanna Pásztó-Jámbor	Fõ út	1	2931	Almásfüzitõ	HU	11345	9746	11345	7840	11345	8165	8976	7538	8976	6013	8976	6921	8976	5015	8976	4431	2952	3678	2642	1441	0		0		0		0		0		0		
