National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Lithuania	100-Holding Account	AB Akmenes cementas 	1	153009143	open	Account holder	AB Akmenes cementas	Dalinkeviciaus g.2  LT-85118 N. Akmene		LT-85118	Naujoji Akmene	Lithuania	1	Katilinė, cemento klingerio gamybos krosnys	1-T-S-1-1-2014	2005-12-02					Dalinkeviciaus g.2  LT-85118 N.Akmene		LT-85118	Naujoji Akmene	LT	62.4	43.2	29-Production of cement clinker	Nijole Vaupsiene	Zilviciu g.1, Ramuciu k.		LT85118	Naujoji Akmene	LT	1330526	783415	997895	1064344	997894	1092056	985617	902179	985617	585206	985617	594096	985617	662809	985616	815541	648923	955420	637652	806637	62624852461*****	843052	614726137249*****		603079134729*****		591319132210*****		579412129690*****		567464127170*****		
Lithuania	100-Holding Account	AB Naujasis kalcitas 	2	153085326	open	Account holder	AB Naujasis kalcitas	J.Dalinkeviciaus 2K,  Naujoji Akmene		LT-85118	Naujoji Akmene	Lithuania	2	Kalkių gamybos krosnys	28	2005-12-30					J.Dalinkeviciaus 2K Naujoji Akmene		LT-85118	Naujoji Akmene	LT	41.9	62.3	30-Production of lime, or calcination of dolomite/magnesite	Stefanija Karciauskiene						177582	49289	133186	80211	133186	67811	72938	47275	72938	6763	132506	25164	102722	51564	102721	47151	46969	35178	46153	49527	45328	47229	44494		43651		42800		41938		41073		
Lithuania	100-Holding Account	UAB Svencioneliu keramika 	3	278666190	open	Account holder	UAB Svencioneliu keramika	Augustavo k.  LT-18206 svencioneliu sen.  svencioniu r.		LT-18206	Augustavo k.	Lithuania	3	Keramikos produkcijos deginimo krosnys	4-7-V-01-SN-27	2005-12-02					Augustavo k.  LT-18206 svencioneliu sen.  svencioniu r.		LT-18206	Augustavo k.	LT	0	0	32-Manufacture of ceramics	Rimantas Rudys						9857	4567	7393	2625	7393	2683	5339	2205	5339	1759	14263	1693	10601	1706	10601	1390	5579	1280	5482	1177	5383	592	5285		5185		5084		4981		4879		
Lithuania	100-Holding Account	UAB Taurages keramika 	4	179331614	closed	Account holder	UAB Taurages keramika	Gaures g. 27  LT-72343 Taurage		LT-72343	Taurage	Lithuania	4	Keramines produkcijos degimo krosnys	4-SK2	2005-12-02	2013-04-01				Gaures g. 27		LT-72343	Taurage	LT	0	0	32-Manufacture of ceramics	Alius Remeikis						8126	3082	6094	1658	6094	1518	10908	1357	10908	0	10907	0	10907	8	10907	0	5461	0	0		0		0		0		0		0		0		
Lithuania	100-Holding Account	UAB Jasiunu keramika 	5	174977969	closed	Account holder	UAB Jasiunu keramika	Popierines g. 3 salcininku r.		LT-17250	Jasiunai	Lithuania	5	Keramines produkcijos degimo krosnys	1-SK3	2005-12-02					Popierines g. 3 salcininku r.		LT-17250	Jasiunai	LT	0	0	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	Rita Kinduryte	Jocioniu g. 13  Vilnius		LT02300	Vilnius	LT	391	166	293	252	293	251		0				Not Reported																					
Lithuania	100-Holding Account	UAB Roku keramika 	6	159700872	open	Account holder	UAB Roku keramika	J.Borutos g. 23  LT-46500 Kaunas		LT-46500	Kaunas	Lithuania	6	Keraminės produkcijos deginimo krosnys	1-57	2005-12-02					J.Borutos g. 23  LT-46500 Kaunas		LT-46500	Kaunas	LT	0	0	32-Manufacture of ceramics	Mindaugas Anuzis						8267	2427	11847	2457	8621	2895	6076	2111	6076	1325	6076	1565	6076	2238	6076	1424	8478	1309	8331	1796	8181	701	8031		7879		7725		7570		7414		
Lithuania	100-Holding Account	AB Palemono keramika 	7	233397860	open	Account holder	AB Palemono keramika	Pamario g. 1  LT-52265 Kaunas		LT-52265	Kaunas	Lithuania	7	Katilas, keramikos deginimo krosnis	1-80	2005-12-02					Pamario g. 1  LT-52265 Kaunas		LT-52265	Kaunas	LT	54.9	24	32-Manufacture of ceramics	Renata Utyriene						8153	9596	6114	7226	6114	9557	7950	4451	7950	976	7950	1565	7950	3786	7950	3934	8675	3430	8440	3124	8227	3737	8019		7811		7604		7395		7189		
Lithuania	100-Holding Account	AB Dvarcioniu keramika 	8	112021238	open	Account holder	AB Dvarcioniu keramika	Keramiku g. 2  LT-10233 Vilnius		LT-10233	Vilnius	Lithuania	8	Keraminės produkcijos deginimo krosnys, katilinė	4-7-V-01-34	2005-12-02					Keramiku g. 2  LT-10233 Vilnius		LT-10233	Vilnius	LT	60.6	58.8	32-Manufacture of ceramics	Linas Giedraitis						14953	11292	11215	12605	11215	12795	11226	15045	11226	4631	11225	5440	11225	6204	11225	5542	12267	3420	12053	106	11839	51	11619		11399		11178		10953		10727		
Lithuania	100-Holding Account	UAB Kauno jiesia 	9	300561837	closed	Account holder	UAB Kauno jiesia	Chemijos g. 29		LT-51333	Kaunas	Lithuania	9	Krosnys	2-SK7	2005-12-02					Chemijos g. 29		LT-51333	Kaunas	LT	0	0	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	Vytautas Kilkus	Gedimino g. 85  Kupiskis		LT-40135	Kupiskis	LT	343	0	257	0	257	0		0				Not Reported																					
Lithuania	100-Holding Account	UAB Alytaus Keramika 	10	153643973	open	Account holder	UAB Alytaus Keramika	Geistaru k.Miroslavo sen. Alytaus raj.		LT-62193	Alytaus r.	Lithuania	10	Keraminės produkcijos deginimo krosnis	AR-5-II	2005-12-02					Geistaru k.  Miroslavo sen.  Alytaus r.		LT-62193	Alytaus r.	LT	46.9	60.2	32-Manufacture of ceramics	Vidas Sunelaitis						1975	515	1481	595	1481	839	1564	684	1563	718	1563	627	1563	851	1563	631	1587	457	1559	291	1531	617	1503		1475		1446		1417		1387		
