National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Norway	100-Holding Account	Agder Energi Varme AS 	1	980921409	open	Account holder	Agder Energi Varme AS	Postboks 603 Lundsiden	Kjøita 18	4604	Kristiansand	Norway	1	Agder Energi Varme	NO-2006-52	2009-04-02					Serviceboks 603		4604	Kristiansand	NO			20-Combustion of fuels	Torstein Melhus	Serviceboks 603		4604	Kristiansand	NO							154	1372	154	3122	154	7386	154	1710	154	367	4007	462	3585	437	3176	636	2778		2394		2021		1661		1314		
Norway	100-Holding Account	BKK Produksjon AS 	2	876944642	open	Account holder	BKK Produksjon AS	Postboks 7050	Kokstadvegen 37	5020	Bergen	Norway	2	BKK Produksjon AS	NO-2007-1069	2009-04-02					Postboks 7050		5020	Bergen	NO			20-Combustion of fuels	Sverre Høye	Postboks 7050		5020	Bergen	NO							6768	20665	6768	20866	6768	24626	6768	27344	6768	25507	4787	26046	4284	27250	3795	24292	3322		2864		2419		1990		1576		
Norway	100-Holding Account	BKK Varme AS 	3	979427697	open	Account holder	BKK Varme AS	Postboks 7050	Kokstadvegen 37	5020	Bergen	Norway	3	BKK Varme AS	NO-2006-58	2009-04-02					Postboks 7050		5020	Bergen	NO			20-Combustion of fuels	Kjartan Aarbø	Boks 7050		5020	Bergen	NO							9786	16919	9786	16303	9786	22494	9786	10655	9786	9328	17906	8023	16025	5284	14194	6653	12419		10698		9034		7422		5872		
Norway	100-Holding Account	Pelagia AS 	4	989094823	open	Account holder	Pelagia AS	Postboks 444	Bradbenken 1	5805	BERGEN	Norway	4	Pelagia AS Bodø Sildoljefabrikk	NO-2007-1075	2009-04-02					Postboks 91		8001	Bodø	NO			20-Combustion of fuels	Arnt Ove Hoddevik	Ivahavet		6718	Deknepollen	NO							13368	13222	13368	15034	13368	11856	13368	13822	13368	10027	9470	7094	9305	6426	9139	7476	8971		8801		8629		8455		8281		
Norway	100-Holding Account	Borregaard AS 	5	895623032	open	Account holder	Borregaard AS	Postboks 162	Hjalmar Wesselsvei 10	1721	Sarpsborg	Norway	5	Borregaard AS	NO-2006-67	2009-04-02					Postboks 162		1721	Sarpsborg	NO			35-Production of pulp	Lena Ulvan	Hjalmar Wessels vei 10	Pb 162	1721	Sarpsborg	NO							160497	167666	160497	175938	212736	142486	177910	115166	177910	113440	210857	137852	207195	129371	203490	116270	199745		195962		192140		188271		184389		
Norway	100-Holding Account	Bp Norge AS 	6	981355210	open	Account holder	Bp Norge AS	Postboks 197	Godesetdalen 8	4065	Stavanger	Norway	6	Bp Norge AS Ulafeltet	NO-2007-999	2009-04-02					Postboks 197		4065	Stavanger	NO			20-Combustion of fuels	Bjørn-Marius Larsen	Godesetdalen 8		4065	Stavanger	NO							0	137372	0	173649	0	190663	0	228029	0	163406	54433	183828	53487	207480	52531	197437	51564		50587		49601		48602		47600		
Norway	100-Holding Account	Bp Norge AS 	7	981355210	open	Account holder	Bp Norge AS	Postboks 197	Godesetdalen 8	4065	Stavanger	Norway	7	Bp Norge AS Valhallfeltet	NO-2007-1028	2009-04-02					Postboks 197		4065	Stavanger	NO			20-Combustion of fuels	Bjørn-Marius Larsen	Godesetdalen 8		4065	Stavanger	NO							0	265748	0	237586	0	277787	0	214754	0	143410	44593	148572	43818	49025	43034	37063	42243		41442		40634		39816		38995		
Norway	100-Holding Account	ConocoPhillips Skandinavia AS 	8	918110127	open	Account holder	ConocoPhillips Skandinavia AS	Postboks 3, 4064 Stavanger	Ekofiskveien 35	4056	Tananger	Norway	8	ConocoPhillips Skandinavia AS Ekofiskområdet	NO-2007-1059	2009-04-02					Postboks 220		4056	Tananger	NO			20-Combustion of fuels	Oddbjørn Rafteseth	Postboks 3		4064	Stavanger	NO							0	1002041	0	1022500	0	973287	0	1013519	0	991192	675796	914508	664058	1024529	652182	1016617	640183		628054		615807		603407		590964		
Norway	100-Holding Account	Drammen Fjernvarme KS 	9	980836673	open	Account holder	Drammen Fjernvarme KS	Jacob Borchs gate 5		3012	Drammen	Norway	9	Drammen Fjernvarme KS	NO-2006-56	2009-04-02					Postboks 4184 Gulskogen		3005	Drammen	NO			20-Combustion of fuels	Anders Dalheim	Postboks 4184	Gulskogen	3005	Drammen	NO							3208	515	3208	762	3208	8299	3208	6154	3208	3057	8882	3283	7949	1552	7041	1327	6160		5307		4481		3682		2913		
Norway	100-Holding Account	Dynea ASA 	10	912555739	open	Account holder	Dynea ASA	Postboks 160	Svelleveien 33	2000	Lillestrøm	Norway	10	Dynea ASA Lillestrøm fabrikker	NO-2006-86	2009-04-02					Postboks 160		2001	Lillestrøm	NO			42-Production of bulk chemicals	Audhild Bø	Postboks 160		2001	Lillestrøm	NO							17946	11680	17946	8388	17946	14598	17946	13451	17946	9945	16755	13696	16464	13045	16170	10386	15872		15571		15268		14960		14652		
