National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Slovakia	100-Holding Account	STEFE Banská Bystrica, a.s. 	1	36024473	open	Account holder	STEFE Banská Bystrica, a.s.	Zvolenská cesta 1		97405	Banská Bystrica	Slovakia	1	Tepláreň Radvaň	601-001-2012	2008-01-01			STEFE Banská Bystrica, a.s.		Zvolenská cesta 1		97405	Banská Bystrica	SK	48.43	19.08	20-Combustion of fuels	Stanislav Badinský	Zvolenská cesta 1		97405	Banská Bystrica	SK	37541	23371	37541	24191	37540	25895	32600	23516	32600	23280	32600	23094	32600	20340	32600	13057	9725	12305	8673	12435	7684	12701	6725		5797		4899		4030		3192		
Slovakia	100-Holding Account	Tate &amp; Lyle Boleraz, s.r.o. 	3	31411011	open	Account holder	Tate &amp; Lyle Boleraz, s.r.o.	Boleráz		91908	Boleráz	Slovakia	3	Tate &amp; Lyle Boleraz, s.r.o.	207-002-2012	2008-01-01			Tate &amp; Lyle, s.r.o.	8.b.ii	Boleráz		91908	Boleráz	SK	48.47	17.5	20-Combustion of fuels	Pavel Dobšovič	Boleráz		91908	Boleráz	SK	39045	39586	39045	46781	39045	44950	44200	55380	44200	49229	66500	51840	73200	58929	73200	57082	42263	52288	41528	59480	40793	60606	40056		39321		38586		37851		37116		
Slovakia	100-Holding Account	A.N.B. a.s. 	4	35732032	closed	Account holder	A.N.B. a.s.	Bystrická 657/7		96681	Žarnovica	Slovakia	4	A.N.B. a.s.	612-001-2005	2006-02-10					Bystrická 657/7		96681	Žarnovica	SK			1-Combustion installations with a rated thermal input exceeding 20 MW							1892	12	1892	55	1891	21						Not Reported																					
Slovakia	100-Holding Account	AVC, a.s. 	5	31561306	closed	Account holder	AVC, a.s.	Slobody 1360		02211	Čadca	Slovakia	5	AVC, a.s.	502-002-2005	2005-12-21			AVC, a.s.		Slobody 1360		02211	Čadca	SK			1-Combustion installations with a rated thermal input exceeding 20 MW	Jana Zuščáková	Slobody 1360		02211	Čadca	SK	5197	1997	5196	941	5196	0						Not Reported																					
Slovakia	100-Holding Account	Bekaert Hlohovec a. s. 	6	36234052	closed	Account holder	Bekaert Hlohovec a. s.	Mierová 2317		92028	Hlohovec	Slovakia	6	Bekaert Hlohovec a.s.	203-002-2005	2008-01-01	2012-05-02		Bekaert Hlohovec a. s.		Mierová 2317		92028	Hlohovec	SK			1-Combustion installations with a rated thermal input exceeding 20 MW	Jozef Supuka	Mierová 2317		92028	Hlohovec	SK	18792	7531	18792	7417	18792	7253	7480	8134	7480	6744	7480	250	7480	0	0																		
Slovakia	100-Holding Account	Biotika a.s. 	7	31561900	open	Account holder	Biotika a.s.	Slovenská Ľupča 566		97613	Slovenská Ľupča	Slovakia	7	Prevádzka Energetika Biotika, a.s., Slov. Ľupča	601-005-2012	2008-01-01			Biotika a.s.		Slovenská Ľupča 566		97613	Slovenská Ľupča	SK	48.7	19.14	20-Combustion of fuels	Ján Nedorolík	Slovenská Ľupča 566		97613	Slovenská Ľupča	SK	58417	28193	58416	20198	58416	23173	52561	23420	52561	18828	52561	19221	52561	20652	52561	17818	15874	19849	15598	15464	15319	15097	15037		14752		14464		14173		13881		
Slovakia	100-Holding Account	TIMMA s.r.o. 	8	36624985	closed	Account holder	TIMMA s.r.o.	Námestie A. Hlinka 3/816		01011	Žilina	Slovakia	8	TIMMA s.r.o.	606-001-2005	2008-01-01	2012-05-02		TIMMA s.r.o.		Zvolenská cesta 2740		98401	Lučenec	SK			8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	Mária Halamová	Námestie A. Hlinku 3/816		01001	Žilina	SK	34286	27146	34285	21330	34285	15495	39433	10550	39433	2994	39433	57	39433	5	0	Not Reported																	
Slovakia	100-Holding Account	Bratislavská teplárenská, a.s. 	9	35823542	open	Account holder	Bratislavská teplárenská, a.s.	Bajkalská 21/A		82905	Bratislava	Slovakia	9	Tepláreň II (Tepláreň Východ)	103-012-2012	2008-01-01			Bratislavská teplárenská, a.s.	1.1	Turbínova 3		83226	Bratislava 3	SK	48.32	17.15	20-Combustion of fuels	Vladimír Galbavý	Bajkalská 21/A		82905	Bratislava	SK	132530	119341	132530	87439	132530	38762	103390	39938	103390	39339	103390	41099	103390	26282	103390	28619	34740	30641	3159813335*****	136535	5148011907*****	136695	4565810525*****		400149186*****		345517888*****		292606633*****		241575423*****		
Slovakia	100-Holding Account	Bratislavská teplárenská, a.s. 	10	35823542	open	Account holder	Bratislavská teplárenská, a.s.	Bajkalská 21/A		82905	Bratislava	Slovakia	10	Tepláreň západ	104-013-2012	2008-01-01			Bratislavská teplárenská, a.s.	1.1.	Polianky 6		84101	Bratislava 42	SK	48.1	17.04	20-Combustion of fuels	Vladimír Galbavý	Bajkalská 21/A		82905	Bratislava	SK	121764	101300	121764	94469	121764	85028	97884	84369	97884	83582	97884	87459	97884	78038	97884	69910	62358	61274	55804	49413	49437	54288	43271		37298		31519		25928		20536		
Slovakia	100-Holding Account	Bratislavská teplárenská, a.s. 	11	35823542	open	Account holder	Bratislavská teplárenská, a.s.	Bajkalská 21/A		82905	Bratislava	Slovakia	11	Výhrevňa JUH	102-011-2012	2008-01-01			Bratislavská teplárenská, a.s.	1.1	Vlčie hrdlo		82107	Bratislava 214	SK	48.11	17.17	20-Combustion of fuels	Vladimír Galbavý	Bajkalská 21/A		82905	Bratislava	SK	14000	7778	14000	8571	14000	1535	8571	2811	8571	4054	8571	6006	8571	1145	8571	3823	4058	2990	356512293*****	26143	318910978*****	26089	28259705*****		24718472*****		21297278*****		17976121*****		14785007*****		
Slovakia	100-Holding Account	Bučina DDD, spol. s r.o. 	12	36059323	open	Account holder	Bučina DDD, spol. s r.o.	Lučenecká cesta 1335/21		96096	Zvolen	Slovakia	12	Drevotrieskové dosky	611-001-2012	2008-01-01			Bučina DDD, spol. s r.o.		Lučenecká cesta 1335/21		96196	Zvolen	SK	48.57	19.16	36-Production of paper or cardboard	Jozef Smutný	Bučina DDD, spol. s r.o.	Lučenecká cesta č. 1335/21	961 96	Zvolen	SK	15089	7003	15089	8332	15089	8403	9700	13617	9700	8315	9700	7502	9700	6917	9700	7650	32787	8025	32218	8034	20792	8744	18191		15671		13232		10871		8602		
Slovakia	100-Holding Account	BUČINA ZVOLEN, a.s. 	13	36029815	closed	Account holder	BUČINA ZVOLEN, a.s.	Lučenecká cesta 2266/6		96096	Zvolen	Slovakia	13	Energetika	053-003-2005	2008-01-01	2012-12-31		BUČINA ZVOLEN, a.s.		Lučenecká cesta 2266/6		96096	Zvolen	SK			1-Combustion installations with a rated thermal input exceeding 20 MW	Štefan Hamáry	Lučenecká cesta 2266/6		96096	Zvolen	SK	2484	110	2484	410	2484	35	700	17	700	2	700	1	700	173	700	60																	
Slovakia	100-Holding Account	BUKOCEL, a.s. 	14	36445461	open	Account holder	BUKOCEL, a.s.	Hencovská 2073		09302	Hencovce	Slovakia	14	Fluidný kotol KDO1, Regener. kotol, Rot.pec vápna	713-001-2012	2008-01-01			BUKOCEL, a.s.		Hencovská 2073		09302	Hencovce	SK			36-Production of paper or cardboard	Peter Krauspe	Hencovská 2073		09302	Hencovce	SK	193200	181099	193200	180768	193200	182322	329208	237852	485500	258632	485500	258960	485500	236197	485500	196087	124925	19667	122755	18728	120559	18498	118341		116099		113836		111543		109243		
Slovakia	100-Holding Account	Bytkomfort, s.r.o. 	15	36555193	open	Account holder	Bytkomfort, s.r.o.	SNP 9		94060	Nové Zámky	Slovakia	15	Centrálny tepelný zdroj	404-002-2015	2008-01-01			Bytkomfort, s.r.o.		Dvorská cesta 22A		94064	Nové Zámky	SK			20-Combustion of fuels	Peter Szuchan	SNP 9	útvar EM/CTZ	94060	Nové Zámky	SK	43186	36106	43186	34747	43185	32275	35427	32414	35427	31867	35427	33840	35427	28572	35427	25627	21931	23010	18145	19853	16040	19846	14039		12102		10227		8412		6663		
Slovakia	100-Holding Account	Calmit, spol. s r.o. 	16	36172162	open	Account holder	Calmit, spol. s r.o.	Gaštanová 15		81104	Bratislava	Slovakia	16	Calmit, spol. s r. o., závod Margecany	801-001-2008	2008-01-01			Calmit, spol. s r.o.		Margecany		05540	Margecany	SK			30-Production of lime, or calcination of dolomite/magnesite	Peter Vaniš	Gaštanová 15		81104	Bratislava	SK	22924	33455	22924	4722	22924	7735	28386	16989	28386	2681	28386	4355	28386	0	28386	0	0	0	0	0	0	0	0		0		0		0		0		
Slovakia	100-Holding Account	Calmit, spol. s r.o. 	17	36172162	open	Account holder	Calmit, spol. s r.o.	Gaštanová 15		81104	Bratislava	Slovakia	17	Calmit spol. s r.o., závod Žirany	403-004-2014	2008-01-01			Calmit, spol. s r.o.		Žirany		95174	Žirany	SK			30-Production of lime, or calcination of dolomite/magnesite	Peter Vaniš	Gaštanová 15		81104	Bratislava	SK	110165	83121	110165	75940	110165	62210	128655	85902	128655	47340	128655	44243	128655	40227	128655	49065	71228	34096	34996	62739	68739	60086	67475		66196		64905		63598		62287		
Slovakia	100-Holding Account	Calmit, spol. s r.o. 	18	36172162	open	Account holder	Calmit, spol. s r.o.	Gaštanová 15		81104	Bratislava	Slovakia	18	Calmit spol. s r.o., Bratislava, závod Tisovec	609-002-2012	2008-01-01			Calmit, spol. s r.o.		Tisovec		98061	Tisovec	SK			30-Production of lime, or calcination of dolomite/magnesite	Peter Vaniš	Gaštanová 15		81104	Bratislava	SK	92317	80387	92317	76948	92317	90011	109995	119301	109995	101271	224028	119731	224028	96936	224028	110548	91191	98187	89607	97382	88005	89290	86386		84749		83096		81423		79744		
Slovakia	100-Holding Account	Carmeuse Slovakia, s.r.o. 	19	36198749	open	Account holder	Carmeuse Slovakia, s.r.o.	Slavec 179		04911	Slavec	Slovakia	19	(Slavec), závod Vápenka Košice	803-001-2015	2008-01-01			Carmeuse Slovakia, s.r.o.		Vstupný areál U.S. Steel		04454	Košice	SK			30-Production of lime, or calcination of dolomite/magnesite	Gabriel Kmec	závod Vápenka Košice	Vstupný areál U.S.Steel	04454	Košice	SK	509277	417569	509277	480063	509276	469154	244825	504122	244825	424171	244825	507238	244825	458377	721925	451374	406953	424616	399885	393619	392733	402664	385507		378204		370828		363361		355869		
Slovakia	100-Holding Account	Carmeuse Slovakia, s.r.o. 	20	36198749	open	Account holder	Carmeuse Slovakia, s.r.o.	Slavec 179		04911	Slavec	Slovakia	20	Výroba vápna v Slavci	808-001-2015	2008-01-01			Carmeuse Slovakia, s.r.o.		Slavec 179		04911	Slavec	SK			30-Production of lime, or calcination of dolomite/magnesite	Štefan Hanzel	Slavec 179	závod Vápenka Slavec, riaditeľ závodu	04911	Slavec	SK	200177	214139	200177	200900	200177	207483	721925	201117	721925	180298	721925	181382	721925	211107	244825	172249	192914	114441	189563	131109	186173	115275	182747		179285		175789		172249		168697		
Slovakia	100-Holding Account	CEMMAC a.s. 	21	31412106	open	Account holder	CEMMAC a.s.	Cementárska 14/14		91442	Horné Srnie	Slovakia	21	Horné Srnie	309-001-2014	2008-01-01			CEMMAC a.s.		Cementárska 14/14		91442	Horné Srnie	SK	48.99	18.1	29-Production of cement clinker	Jozef Hošo	Cementárska 14/14		91442	Horné Srnie	SK	376444	352460	376444	352701	376444	354888	386725	355008	386725	331114	386725	323249	386725	331596	386725	285163	299135	314749	293939	332244	288682	299683	283371		278002		272581		267092		261585		
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	22	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	22	Plynová kotolňa D3-31	105-054-2012	2008-01-01	2013-12-31		Dalkia a.s.		Belinského 18		85101	Bratislava	SK			20-Combustion of fuels	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	6397	5974	6397	5386	6396	4759	5680	4659	5680	4560	5680	4788	5680	4164	5680	3940	4042	4095	0		0		0		0		0		0		0		
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	23	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	23	Plynová kotolňa L3-26	105-056-2012	2008-01-01	2013-12-31		Dalkia a.s.		Budatínska 63		85106	Bratislava	SK			20-Combustion of fuels	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	6425	5889	6425	5438	6424	4694	5663	4567	5663	4374	5663	4437	5663	3841	5663	3663	4054	3945	0		0		0		0		0		0		0		
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	24	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	24	Plynová kotolňa D1-39	105-053-2012	2008-01-01	2013-12-31		Dalkia a.s.		Čapajevova 2		85102	Bratislava	SK			20-Combustion of fuels	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	5744	5293	5744	4851	5744	4266	5072	4133	5072	4011	5072	4262	5072	3661	5072	3406	3471	3594	0		0		0		0		0		0		0		
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	25	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	25	Plynová kotolňa MC-19	105-061-2012	2008-01-01	2013-12-31		Dalkia a.s.		Černyševského 13		85101	Bratislava	SK			20-Combustion of fuels	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	4117	3499	4116	3132	4116	2854	3316	2736	3316	2651	3316	2691	3316	2351	3316	2268	2296	2269	0		0		0		0		0		0		0		
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	26	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	26	Plynová kotolňa B1-27	105-019-2010	2008-01-01	2012-12-31		Dalkia a.s.		Furdekova 4		85103	Bratislava	SK			1-Combustion installations with a rated thermal input exceeding 20 MW	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	6743	4585	6743	4360	6742	3283	4473	2994	4473	3185	4473	3200	4473	2709	4473	2378																	
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	27	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	27	Plynová kotolňa C1-31	105-034-2010	2008-01-01	2012-12-31		Dalkia a.s.		A. Gwerkovej 4		85102	Bratislava	SK			1-Combustion installations with a rated thermal input exceeding 20 MW	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	5124	890	5124	380	5124	193	635	122	635	258	635	255	635	57	635	14																	
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	28	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	28	Plynová kotolňa B2-47	105-051-2012	2008-01-01	2013-12-31		Dalkia a.s.		Haanova 10		85104	Bratislava	SK			20-Combustion of fuels	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	7251	6358	7251	5854	7251	5094	6106	5000	6106	4856	6106	4903	6106	4063	6106	3797	4384	3972	0		0		0		0		0		0		0		
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	29	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	29	Plynová kotolňa L1-32	105-021-2010	2008-01-01	2012-12-31		Dalkia a.s.		Holíčska 46		85105	Bratislava	SK			1-Combustion installations with a rated thermal input exceeding 20 MW	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	4715	5219	4715	4293	4715	3631	4756	3402	4756	3427	4756	3330	4756	2997	4756	3145																	
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	30	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	30	Plynová kotolňa L8-37	105-060-2012	2008-01-01	2013-12-31		Dalkia a.s.		Jasovská 43		85107	Bratislava	SK			20-Combustion of fuels	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	6788	6646	6788	6159	6788	5436	6402	5282	6402	5044	6402	5213	6402	4441	6402	4185	4590	4462	0		0		0		0		0		0		0		
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	31	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	31	Plynová kotolňa L4-33	105-057-2012	2008-01-01	2013-12-31		Dalkia a.s.		Lietavská 7		85106	Bratislava	SK			20-Combustion of fuels	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	5520	5372	5520	5001	5520	4457	5186	4605	5186	4698	5186	4977	5186	4276	5186	4122	3794	4297	0		0		0		0		0		0		0		
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	32	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	32	Tepelná sústava plyn. kotolní A2-35 a B1-27	105-063-2012	2008-01-01	2013-12-31		Dalkia a.s.		Osuského 46		85103	Bratislava	SK			20-Combustion of fuels	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	7881	7317	7880	6376	7880	5726	6857	5538	6857	5146	6857	5322	6857	4607	6857	4625	7826	7679	0		0		0		0		0		0		0		
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	33	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	33	Plynová kotolňa D6-24	105-025-2010	2008-01-01	2012-12-31		Dalkia a.s.		Pečnianska 25		85101	Bratislava	SK			1-Combustion installations with a rated thermal input exceeding 20 MW	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	4964	4551	4964	4260	4963	3857	4406	3916	4406	3562	4406	4007	4406	3674	4406	3096																	
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	34	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	34	Tepelná sústava plyn. kotolní D5-35 a D6-24	105-065-2012	2008-01-01	2013-12-31		Dalkia a.s.		Röntgenova 12		85101	Bratislava	SK			20-Combustion of fuels	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	6479	6415	6478	5810	6478	5037	6113	4885	6113	5010	6113	4907	6113	4107	6113	4325	7417	7838	0		0		0		0		0		0		0		
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	35	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	35	Tepelná sústava plyn. kotolní A1-22 a A3-26	105-062-2012	2008-01-01	2013-12-31		Dalkia a.s.		Rovniankova 16		85102	Bratislava	SK			20-Combustion of fuels	Kristína Šterbáková	odbor QHSE	Einsteinova 25	85101	Bratislava	SK	7865	7049	7865	6787	7864	5735	6918	5688	6918	5776	6918	5817	6918	5246	6918	5110	8657	8928	0		0		0		0		0		0		0		
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	36	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	36	Tepelná sústava plyn. kotolní B3-32 a C1-31	105-064-2012	2008-01-01	2014-12-31		Veolia Energia Slovensko, a. s.		Sklodowskej 5		85104	Bratislava	SK			20-Combustion of fuels	Kristína Šterbáková	Veolia Energia Slovensko, a. s.	Einsteinova 25	85101	Bratislava	SK	13556	12696	13556	12053	13556	10797	12375	10466	12375	9966	12375	10496	12375	8842	12375	8215	9697	8348	8678	10055	0		0		0		0		0		0		
Slovakia	100-Holding Account	Veolia Energia Slovensko, a. s. 	37	35702257	closed	Account holder	Veolia Energia Slovensko, a. s.	Einsteinova 25		85101	Bratislava	Slovakia	37	Tepelná sústava plynových kotolní L2-24 a L1-32	105-066-2012	2008-01-01	2014-12-31		Veolia Energia Slovensko, a. s.		Šintavská 6		85105	Bratislava	SK			20-Combustion of fuels	Kristína Šterbáková	Veolia Energia Slovensko, a. s.	Einsteinova 25	85101	Bratislava	SK	7396	5968	7395	5810	7395	5080	5889	4932	5889	4473	5889	4654	5889	3888	5889	3426	7507	6720	6718	6926	0		0		0		0		0		0		
