National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
United Kingdom	100-Holding Account	Tuscan Energy 	1		closed	Account holder	Tuscan Energy	Torridon House	73-75 Regent Quay	AB11 5AR	Aberdeen	United Kingdom	1	Ardmore	GB-DTI0100	2005-05-17					Torridon House	73-75 Regent Quay	AB11 5AR	Aberdeen	GB			1-Combustion installations with a rated thermal input exceeding 20 MW	Andy Kerr	3 The Street	Alderton	SN14 6NL	Chippenham	GB	55938	5652	55938		55938							Not Reported																					
United Kingdom	100-Holding Account	Centrica Storage Ltd 	2	3294124	open	Account holder	Centrica Storage Ltd	1st Floor	20 Kingston Road	Tw18 4LG	Staines	United Kingdom	2	Rough 47/3B	GB-DTI0200	2005-06-13					Venture House	42-54 London Road	Tw18 4HF	Staines	GB			1-Combustion installations with a rated thermal input exceeding 20 MW	Antonio Mazzoni	95 Whitworth Road		SE25 6XL	London	GB	102193	104324	102193	67787	102193	74620	85055	84899	85055	87623	85055	93202	85055	87230	85055	74443	66144	96419	64995	78084	63833	69845	62658		61471		60272		59059		57841		
United Kingdom	100-Holding Account	EnQuest Heather Limited 	3	2748866	open	Account holder	EnQuest Heather Limited	Annan House	Palmerston Road	AB11 5QP	Aberdeen	United Kingdom	3	Kittiwake Alpha	GB-DTI0300	2005-05-17					Annan House	Palmerston Road	AB11 5QP	Aberdeen	GB			20-Combustion of fuels							65281	48014	65281	49959	65281	42458	71773	163217	71773	102010	71773	90555	71773	91036	71773	85026	61921	67948	60846	66590	14940	80299	29329		28774		28213		27644		27074		
United Kingdom	100-Holding Account	Apache North Sea Limited 	4	4614761	open	Account holder	Apache North Sea Limited	Alba Gate, Stoneywood Park	Stoneywood Road, Dyce	AB21 7DZ	Aberdeen	United Kingdom	4	Forties Alpha	GB-DTI0400	2005-05-17					Alba Gate, Stoneywood Park	Stoneywood Road, Dyce	AB21 7DZ	Aberdeen	GB			1-Combustion installations with a rated thermal input exceeding 20 MW	Simon Taylor	Alba Gate, Stoneywood Park	Stoneywood Road,	AB21 7DZ	Aberdeen	GB	101803	109688	101803	56943	101803	104658	131957	147218	131955	164493	131955	178569	131955	155291	140591	175849	69336	166973	68131	203427	66913	214921	65682		64437		63181		61909		60632		
United Kingdom	100-Holding Account	Apache North Sea Limited 	5		closed	Account holder	Apache North Sea Limited	Alba Gate, Stoneywood Park	Stoneywood Road, Dyce	AB21 7DZ	Aberdeen	United Kingdom	5	Forties Bravo	GB-DTI0500	2005-05-17					Alba Gate, Stoneywood Park	Stoneywood Road, Dyce	AB21 7DZ	Aberdeen	GB			1-Combustion installations with a rated thermal input exceeding 20 MW	Tim Wall	Alba Gate, Stoneywood Park	Stoneywood Road, Dyce	AB21 7DZ	Aberdeen	GB	80503	95810	80503	84215	80503	0						Not Reported																					
United Kingdom	100-Holding Account	Apache North Sea Limited 	6	4614761	open	Account holder	Apache North Sea Limited	Alba Gate, Stoneywood Park	Stoneywood Road, Dyce	AB21 7DZ	Aberdeen	United Kingdom	6	Forties Charlie	GB-DTI0600	2005-05-17					Alba Gate, Stoneywood Park	Stoneywood Road, Dyce	AB21 7DZ	Aberdeen	GB			1-Combustion installations with a rated thermal input exceeding 20 MW	Simon Taylor	Alba Gate, Stoneywood Park	Stoneywood Road,	AB21 7DZ	Aberdeen	GB	108815	78870	108815	121429	108815	97774	154936	96153	154936	102628	154936	96568	154936	136463	154936	119298	47229	191662	46409	174362	45579	184355	44740		43892		43037		42170		41300		
United Kingdom	100-Holding Account	Apache North Sea Limited 	7	4614761	open	Account holder	Apache North Sea Limited	Alba Gate, Stoneywood Park	Stoneywood Road, Dyce	AB21 7DZ	Aberdeen	United Kingdom	7	Forties Delta	GB-DTI0700	2005-05-17					Alba Gate, Stoneywood Park	Stoneywood Road, Dyce	AB21 7DZ	Aberdeen	GB			1-Combustion installations with a rated thermal input exceeding 20 MW	Simon Taylor	Alba Gate, Stoneywood Park	Stoneywood Road,	AB21 7DZ	Aberdeen	GB	85927	91354	85927	94016	85927	93446	100050	111184	100050	100554	100050	80240	100050	88279	100050	73179	66347	70491	65195	91738	64029	85940	62851		61660		60458		59240		58019		
United Kingdom	100-Holding Account	Premier Oil UK Limited 	8	SC48705	open	Account holder	Premier Oil UK Limited	Upper Denburn House, Prime Four Business Park	Kingswells Causeway,Kingswells	AB15 8PU	Aberdeen	United Kingdom	8	Balmoral	GB-DTI9250	2005-05-17					Upper Denburn House, Prime Four Business Park	Kingswells Causeway, Kingswell	AB15 8PU	Aberdeen	GB			20-Combustion of fuels	Ernie Knowles	Upper Denburn House, Prime Four Business Park	Kingswells Causeway, Kingswells	AB15 8PU	Aberdeen	GB	67053	59156	67053	54029	67053	65957	102188	147122	102164	109257	103067	102554	106681	86596	106718	98924	34174	99308	33580	85209	32980	84645	32379		31760		31140		30513		29884		
United Kingdom	100-Holding Account	CNR International (UK) Limited 	9	813187	open	Account holder	CNR International (UK) Limited	St. Magnus House	Guild Street	AB11 6NJ	Aberdeen	United Kingdom	9	Tiffany	GB-DTI9300	2005-06-02					St. Magnus House	Guild Street	AB11 6NJ	Aberdeen	GB			1-Combustion installations with a rated thermal input exceeding 20 MW	Janet Bradshaw	St. Magnus House	Guild Street	AB11 6NJ	Aberdeen	GB	201941	171573	201941	169595	201941	176385	191398	210175	191398	235378	191398	246178	191398	237141	191398	242920	104432	208289	102618	112073	100783	196580	98929		97055		95162		93246		91323		
United Kingdom	100-Holding Account	ConocoPhillips (UK) Britannia Limited 	10	2954364	open	Account holder	ConocoPhillips (UK) Britannia Limited	ConocoPhillips (UK) Britannia Limited	Royfold House, Hill of Rubislaw	AB15 6GZ	Aberdeen	United Kingdom	10	Britannia	GB-DTI1000	2005-05-17					Portman House	2 Portman Street	W1H 6DU	London	GB			1-Combustion installations with a rated thermal input exceeding 20 MW	Mark Chapman	Portman House	2 Portman St	W1H 6DU	London	GB	298191	340422	298191	283019	298191	327591	308500	397686	333868	398177	341658	407633	336969	335961	337119	318539	286653	240889	281674	250595	276637	318430	271547		266402		261207		255947		250670		
United Kingdom	100-Holding Account	Amerada Hess Ltd 	11		closed	Account holder	Amerada Hess Ltd	Amerada Hess Limited	1 Berry Sreet	AB25 12HF	Aberdeen	United Kingdom	11	AH001	GB-DTI1100	2005-06-01	2010-06-16				Amerada Hess Limited	1 Berry Sreet	AB25 12HF	Aberdeen	GB			1-Combustion installations with a rated thermal input exceeding 20 MW	Derek Turner	Amerada Hess Limited	1 Berry Sreet	AB25 12HF	Aberdeen	GB	84807	79444	84807	72498	84807	60823	153053	67502	153053	26508	0		0		0																		
United Kingdom	100-Holding Account	Hydrocarbon Resources Ltd 	12	3115179	open	Account holder	Hydrocarbon Resources Ltd	Centrica Energy	Millstream East, Maidenhead Road	SL4 5GD	Windsor	United Kingdom	12	Morecambe Central Processing Complex	GB-DTI1200	2005-05-17					Centrica Energy	Millstream East, Maidenhead Road	SL4 5GD	Windsor	GB			20-Combustion of fuels	Susan Grayson	15 Justice Mill Lane		AB11 6EQ	Aberdeen	GB	210938	227259	210938	133436	210938	187967	176838	226270	176838	126696	176838	244897	176838	164076	176838	152768	168235	156869	165313	135661	162356	121636	159369		156350		153301		150214		147116		
United Kingdom	100-Holding Account	Dana Petroleum (E&amp;P) Limited 	13	2294746	open	Account holder	Dana Petroleum (E&amp;P) Limited	Kings Close	62 Huntly Street	AB10 1RS	Aberdeen	United Kingdom	13	Triton FPSO	GB-DTI1300	2005-06-01					Dana Petroleum plc	King's Close, 62 Huntly Street	AB10 1RS	Aberdeen	GB			20-Combustion of fuels							157970	164899	157970	156724	157970	141697	240267	172302	240267	159439	240267	166527	240267	150805	240267	140900	38711	139226	38039	122920	37359	152293	36671		35977		35275		34565		33852		
United Kingdom	100-Holding Account	Eni Liverpool Bay Operating Company 	14		open	Account holder	Eni Liverpool Bay Operating Company	Eni House	10 Ebury Bridge Road	SW1W 8PZ	London	United Kingdom	14	Douglas	GB-DTI1400	2005-05-23					Llaneurgain House	Northop Country Park, Northop	CH7 6WD	Mold	GB			20-Combustion of fuels							194086	271633	194086	273078	194086	264916	311292	352001	311292	270784	311292	234116	311292	207646	311292	206580	55085	228487	54128	182792	53160	186616	52182		51193		50195		49184		48170		
United Kingdom	100-Holding Account	Eni Liverpool Bay Operating Company 	15		open	Account holder	Eni Liverpool Bay Operating Company	Eni House	10 Ebury Bridge Road	SW1W 8PZ	London	United Kingdom	15	Oil Storage Installation (OSI)	GB-DTI1500	2005-05-17					Llaneurgain House	Northop Country Park, Northop	CH7 6WD	Mold	GB			20-Combustion of fuels							5177	3979	5177	4452	5177	4422	4035	3693	4035	4605	4035	4150	4035	4490	4035	4161	3024	4907	2971	5343	1459	4438	1432		1405		1378		1350		1322		
